"common_name","sp_id","spqrt_standard"
"Eastern Bluebird",20,918
"Eastern Bluebird",20,919
"Eastern Bluebird",20,920
"Eastern Bluebird",20,921
"Eastern Bluebird",20,922
"Eastern Bluebird",20,923
"Eastern Bluebird",20,924
"Eastern Bluebird",20,925
"Eastern Bluebird",20,926
"Eastern Bluebird",20,927
"Eastern Bluebird",20,928
"Eastern Bluebird",20,929
"Eastern Bluebird",20,930
"Eastern Bluebird",20,931
"Eastern Bluebird",20,932
"Eastern Bluebird",20,933
"Eastern Bluebird",20,934
"Eastern Bluebird",20,935
"Eastern Bluebird",20,936
"Eastern Bluebird",20,937
"Eastern Bluebird",20,938
"Eastern Bluebird",20,939
"Eastern Bluebird",20,940
"Eastern Bluebird",20,941
"Eastern Bluebird",20,942
"Eastern Kingbird",21,943
"Eastern Kingbird",21,944
"Eastern Kingbird",21,945
"Eastern Kingbird",21,946
"Eastern Kingbird",21,947
"Eastern Kingbird",21,948
"Eastern Kingbird",21,949
"Eastern Kingbird",21,950
"Eastern Kingbird",21,951
"Eastern Kingbird",21,952
"Eastern Kingbird",21,953
"Eastern Kingbird",21,954
"Eastern Kingbird",21,955
"Eastern Kingbird",21,956
"Eastern Kingbird",21,957
"Eastern Kingbird",21,958
"Eastern Kingbird",21,959
"Eastern Kingbird",21,960
"Eastern Kingbird",21,961
"Eastern Kingbird",21,962
"Eastern Kingbird",21,963
"Eastern Kingbird",21,964
"Eastern Kingbird",21,965
"Eastern Kingbird",21,966
"Eastern Kingbird",21,967
"Eastern Kingbird",21,968
"Eastern Meadowlark",22,969
"Eastern Meadowlark",22,970
"Eastern Meadowlark",22,971
"Eastern Meadowlark",22,972
"Eastern Meadowlark",22,973
"Eastern Meadowlark",22,974
"Eastern Meadowlark",22,975
