"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"chatham-14-14","chatham",14,14,35.7940963,-78.9642201,c(1517937.35255685, 1552100.91078261)
"chatham-14-15","chatham",14,15,35.8017524,-78.9639626,c(1517807.20313886, 1552948.50751136)
"chatham-14-16","chatham",14,16,35.8069171,-78.9619799,c(1517878.83206817, 1553549.17897015)
"chatham-14-17","chatham",14,17,35.8079852,-78.9537736,c(1518580.72086257, 1553797.95469208)
"chatham-14-18","chatham",14,18,35.8121338,-78.9465209,c(1519136.97872122, 1554370.91990441)
"chatham-14-19","chatham",14,19,35.817586,-78.9428178,c(1519354.32076941, 1555030.78213616)
"chatham-14-20","chatham",14,20,35.8250782,-78.9421833,c(1519260.46316091, 1555866.33395179)
"durham-1-0","durham",1,0,36.1405875,-78.9521448,c(1512078.71715947, 1590471.32662064)
"durham-1-1","durham",1,1,36.146827,-78.94738,c(1512372.07365042, 1591234.71909732)
"durham-1-2","durham",1,2,36.153833,-78.945099,c(1512432.13776157, 1592043.05618389)
"durham-1-3","durham",1,3,36.159448,-78.950115,c(1511879.88318828, 1592581.9995101)
"durham-1-4","durham",1,4,36.165366,-78.947431,c(1511997.031548, 1593276.85188441)
